Susceptible,Infected,Recovered,Dead,Populations,Date
472,413,74,41,959,30/03/2021
458,420,78,44,956,31/03/2021
443,427,83,47,953,01/04/2021
427,440,85,48,952,02/04/2021
416,447,86,51,949,03/04/2021
406,446,93,55,945,04/04/2021
398,445,97,60,940,05/04/2021
394,440,103,63,937,06/04/2021
391,437,108,64,936,07/04/2021
390,431,113,66,934,08/04/2021
380,434,116,70,930,09/04/2021
368,439,120,73,927,10/04/2021
357,443,125,75,925,11/04/2021
352,443,128,77,923,12/04/2021
349,438,133,80,920,13/04/2021
337,445,138,80,920,14/04/2021
328,448,139,85,915,15/04/2021
325,443,141,91,909,16/04/2021
320,443,145,92,908,17/04/2021
314,443,148,95,905,18/04/2021
307,441,154,98,902,19/04/2021
293,449,159,99,901,20/04/2021
283,454,163,100,900,21/04/2021
274,455,168,103,897,22/04/2021
271,451,173,105,895,23/04/2021
268,442,177,113,887,24/04/2021
264,432,187,117,883,25/04/2021
260,430,190,120,880,26/04/2021
256,421,194,129,871,27/04/2021
246,417,205,132,868,28/04/2021
237,412,217,134,866,29/04/2021
227,410,221,142,858,30/04/2021
219,406,227,148,852,01/05/2021
216,397,236,151,849,02/05/2021
213,394,239,154,846,03/05/2021
207,393,244,156,844,04/05/2021
200,397,245,158,842,05/05/2021
189,397,252,162,838,06/05/2021
183,394,255,168,832,07/05/2021
181,389,261,169,831,08/05/2021
172,393,263,172,828,09/05/2021
169,387,267,177,823,10/05/2021
165,385,272,178,822,11/05/2021
163,381,274,182,818,12/05/2021
159,380,279,182,818,13/05/2021
155,373,286,186,814,14/05/2021
154,365,291,190,810,15/05/2021
151,358,298,193,807,16/05/2021
142,358,302,198,802,17/05/2021
139,348,309,204,796,18/05/2021
134,348,312,206,794,19/05/2021
131,337,322,210,790,20/05/2021
122,331,331,216,784,21/05/2021
117,320,340,223,777,22/05/2021
112,314,347,227,773,23/05/2021
106,310,352,232,768,24/05/2021
104,304,357,235,765,25/05/2021
102,302,360,236,764,26/05/2021
99,302,362,237,763,27/05/2021
94,306,363,237,763,28/05/2021
89,301,367,243,757,29/05/2021
86,292,375,247,753,30/05/2021
84,283,381,252,748,31/05/2021
81,281,385,253,747,01/06/2021
79,280,386,255,745,02/06/2021
75,272,394,259,741,03/06/2021
74,264,400,262,738,04/06/2021
73,262,402,263,737,05/06/2021
73,257,406,264,736,06/06/2021
72,252,410,266,734,07/06/2021
72,245,416,267,733,08/06/2021
68,235,427,270,730,09/06/2021
67,226,432,275,725,10/06/2021
65,219,437,279,721,11/06/2021
65,216,439,280,720,12/06/2021
64,214,442,280,720,13/06/2021
64,210,444,282,718,14/06/2021
62,208,447,283,717,15/06/2021
61,205,450,284,716,16/06/2021
58,198,458,286,714,17/06/2021
56,191,464,289,711,18/06/2021
56,181,470,293,707,19/06/2021
55,174,474,297,703,20/06/2021
55,171,476,298,702,21/06/2021
55,168,477,300,700,22/06/2021
55,162,481,302,698,23/06/2021
55,155,484,306,694,24/06/2021
54,145,491,310,690,25/06/2021
54,139,495,312,688,26/06/2021
54,137,496,313,687,27/06/2021
54,128,501,317,683,28/06/2021
53,126,503,318,682,29/06/2021
53,122,507,318,682,30/06/2021
52,121,507,320,680,01/07/2021
50,119,509,322,678,02/07/2021
49,116,510,325,675,03/07/2021
49,115,511,325,675,04/07/2021
49,112,513,326,674,05/07/2021
49,103,519,329,671,06/07/2021
49,100,522,329,671,07/07/2021
49,95,524,332,668,08/07/2021
49,92,526,333,667,09/07/2021
49,83,533,335,665,10/07/2021
49,78,537,336,664,11/07/2021
49,73,542,336,664,12/07/2021
48,68,545,339,661,13/07/2021
47,67,545,341,659,14/07/2021
47,65,545,343,657,15/07/2021
47,62,546,345,655,16/07/2021
47,57,550,346,654,17/07/2021
47,52,553,348,652,18/07/2021
47,49,555,349,651,19/07/2021
47,47,556,350,650,20/07/2021
47,44,558,351,649,21/07/2021
47,42,560,351,649,22/07/2021
47,38,563,352,648,23/07/2021
47,37,564,352,648,24/07/2021
47,36,565,352,648,25/07/2021
47,36,565,352,648,26/07/2021
47,35,565,353,647,27/07/2021
47,35,565,353,647,28/07/2021
47,31,568,354,646,29/07/2021
47,30,568,355,645,30/07/2021
46,29,569,356,644,31/07/2021
46,29,569,356,644,01/08/2021
46,28,569,357,643,02/08/2021
45,29,569,357,643,03/08/2021
45,27,571,357,643,04/08/2021
45,26,571,358,642,05/08/2021
45,23,572,360,640,06/08/2021
45,21,574,360,640,07/08/2021
45,21,574,360,640,08/08/2021
45,20,574,361,639,09/08/2021
45,20,574,361,639,10/08/2021
45,20,574,361,639,11/08/2021
45,20,574,361,639,12/08/2021
45,20,574,361,639,13/08/2021
45,19,575,361,639,14/08/2021
45,19,575,361,639,15/08/2021
45,19,575,361,639,16/08/2021
45,19,575,361,639,17/08/2021
45,18,575,362,638,18/08/2021
45,18,575,362,638,19/08/2021
44,18,575,363,637,20/08/2021
44,16,575,365,635,21/08/2021
44,15,575,366,634,22/08/2021
44,15,575,366,634,23/08/2021
44,15,575,366,634,24/08/2021
44,15,575,366,634,25/08/2021
44,15,575,366,634,26/08/2021
44,15,575,366,634,27/08/2021
44,15,575,366,634,28/08/2021
44,15,575,366,634,29/08/2021
44,15,575,366,634,30/08/2021
44,15,575,366,634,31/08/2021
44,14,576,366,634,01/09/2021
44,13,577,366,634,02/09/2021
44,13,577,366,634,03/09/2021
44,13,577,366,634,04/09/2021
44,13,577,366,634,05/09/2021
44,13,577,366,634,06/09/2021
44,13,577,366,634,07/09/2021
44,13,577,366,634,08/09/2021
44,13,577,366,634,09/09/2021
44,13,577,366,634,10/09/2021
44,13,577,366,634,11/09/2021
43,14,577,366,634,12/09/2021
43,14,577,366,634,13/09/2021
43,14,577,366,634,14/09/2021
43,14,577,366,634,15/09/2021
43,14,577,366,634,16/09/2021
43,14,577,366,634,17/09/2021
43,14,577,366,634,18/09/2021
43,13,577,367,633,19/09/2021
43,13,577,367,633,20/09/2021
43,13,577,367,633,21/09/2021
43,12,578,367,633,22/09/2021
43,12,578,367,633,23/09/2021
43,12,578,367,633,24/09/2021
43,12,578,367,633,25/09/2021
43,12,578,367,633,26/09/2021
43,12,578,367,633,27/09/2021
43,12,578,367,633,28/09/2021
43,12,578,367,633,29/09/2021
43,12,578,367,633,30/09/2021
43,12,578,367,633,01/10/2021
43,12,578,367,633,02/10/2021
43,12,578,367,633,03/10/2021
43,12,578,367,633,04/10/2021
43,12,578,367,633,05/10/2021
43,12,578,367,633,06/10/2021
43,12,578,367,633,07/10/2021
42,13,578,367,633,08/10/2021
42,12,579,367,633,09/10/2021
41,13,579,367,633,10/10/2021
41,13,579,367,633,11/10/2021
41,13,579,367,633,12/10/2021
41,13,579,367,633,13/10/2021
41,13,579,367,633,14/10/2021
41,13,579,367,633,15/10/2021
40,14,579,367,633,16/10/2021
40,14,579,367,633,17/10/2021
40,14,579,367,633,18/10/2021
40,14,579,367,633,19/10/2021
40,14,579,367,633,20/10/2021
39,15,579,367,633,21/10/2021
39,15,579,367,633,22/10/2021
39,15,579,367,633,23/10/2021
39,15,579,367,633,24/10/2021
39,15,579,367,633,25/10/2021
39,15,579,367,633,26/10/2021
39,15,579,367,633,27/10/2021
39,15,579,367,633,28/10/2021
39,15,579,367,633,29/10/2021
39,15,579,367,633,30/10/2021
39,15,579,367,633,31/10/2021
38,15,580,367,633,01/11/2021
38,15,580,367,633,02/11/2021
38,15,580,367,633,03/11/2021
38,15,580,367,633,04/11/2021
38,15,580,367,633,05/11/2021
38,15,580,367,633,06/11/2021
38,15,580,367,633,07/11/2021
38,15,580,367,633,08/11/2021
38,15,580,367,633,09/11/2021
38,15,580,367,633,10/11/2021
38,15,580,367,633,11/11/2021
38,15,580,367,633,12/11/2021
38,15,580,367,633,13/11/2021
38,15,580,367,633,14/11/2021
38,15,580,367,633,15/11/2021
38,15,580,367,633,16/11/2021
37,16,580,367,633,17/11/2021
37,16,580,367,633,18/11/2021
37,16,580,367,633,19/11/2021
37,16,580,367,633,20/11/2021
37,16,580,367,633,21/11/2021
37,16,580,367,633,22/11/2021
37,16,580,367,633,23/11/2021
37,16,580,367,633,24/11/2021
36,17,580,367,633,25/11/2021
36,17,580,367,633,26/11/2021
36,16,581,367,633,27/11/2021
36,16,581,367,633,28/11/2021
36,15,582,367,633,29/11/2021
36,15,582,367,633,30/11/2021
36,15,582,367,633,01/12/2021
36,15,582,367,633,02/12/2021
36,15,582,367,633,03/12/2021
36,15,582,367,633,04/12/2021
36,14,583,367,633,05/12/2021
36,14,583,367,633,06/12/2021
36,14,583,367,633,07/12/2021
35,15,583,367,633,08/12/2021
35,15,583,367,633,09/12/2021
35,14,583,368,632,10/12/2021
35,14,583,368,632,11/12/2021
35,14,583,368,632,12/12/2021
35,14,583,368,632,13/12/2021
35,14,583,368,632,14/12/2021
35,14,583,368,632,15/12/2021
35,14,583,368,632,16/12/2021
34,15,583,368,632,17/12/2021
34,15,583,368,632,18/12/2021
34,15,583,368,632,19/12/2021
34,15,583,368,632,20/12/2021
34,14,584,368,632,21/12/2021
34,14,584,368,632,22/12/2021
34,14,584,368,632,23/12/2021
34,14,584,368,632,24/12/2021
34,14,584,368,632,25/12/2021
34,14,584,368,632,26/12/2021
34,14,584,368,632,27/12/2021
34,14,584,368,632,28/12/2021
34,14,584,368,632,29/12/2021
34,14,584,368,632,30/12/2021
34,14,584,368,632,31/12/2021
