Susceptible,Infected,Recovered,Dead,Populations,Date
984,16,0,0,1000,01/01/2021
982,18,0,0,1000,02/01/2021
982,18,0,0,1000,03/01/2021
981,19,0,0,1000,04/01/2021
979,21,0,0,1000,05/01/2021
978,22,0,0,1000,06/01/2021
976,24,0,0,1000,07/01/2021
974,26,0,0,1000,08/01/2021
974,26,0,0,1000,09/01/2021
972,28,0,0,1000,10/01/2021
972,28,0,0,1000,11/01/2021
970,30,0,0,1000,12/01/2021
969,31,0,0,1000,13/01/2021
968,32,0,0,1000,14/01/2021
965,35,0,0,1000,15/01/2021
962,38,0,0,1000,16/01/2021
956,44,0,0,1000,17/01/2021
950,50,0,0,1000,18/01/2021
947,53,0,0,1000,19/01/2021
943,57,0,0,1000,20/01/2021
937,63,0,0,1000,21/01/2021
936,64,0,0,1000,22/01/2021
933,67,0,0,1000,23/01/2021
930,70,0,0,1000,24/01/2021
929,71,0,0,1000,25/01/2021
926,74,0,0,1000,26/01/2021
923,77,0,0,1000,27/01/2021
921,79,0,0,1000,28/01/2021
916,84,0,0,1000,29/01/2021
913,87,0,0,1000,30/01/2021
909,91,0,0,1000,31/01/2021
904,96,0,0,1000,01/02/2021
900,100,0,0,1000,02/02/2021
898,102,0,0,1000,03/02/2021
895,105,0,0,1000,04/02/2021
888,112,0,0,1000,05/02/2021
882,118,0,0,1000,06/02/2021
879,121,0,0,1000,07/02/2021
875,125,0,0,1000,08/02/2021
868,132,0,0,1000,09/02/2021
860,140,0,0,1000,10/02/2021
857,143,0,0,1000,11/02/2021
853,147,0,0,1000,12/02/2021
842,158,0,0,1000,13/02/2021
833,167,0,0,1000,14/02/2021
824,176,0,0,1000,15/02/2021
818,182,0,0,1000,16/02/2021
811,189,0,0,1000,17/02/2021
804,196,0,0,1000,18/02/2021
797,203,0,0,1000,19/02/2021
790,204,4,2,998,20/02/2021
785,207,5,3,997,21/02/2021
777,215,5,3,997,22/02/2021
772,219,6,3,997,23/02/2021
766,223,7,4,996,24/02/2021
758,230,8,4,996,25/02/2021
753,233,8,6,994,26/02/2021
747,237,10,6,994,27/02/2021
738,246,10,6,994,28/02/2021
732,250,11,7,993,01/03/2021
727,255,11,7,993,02/03/2021
719,261,12,8,992,03/03/2021
712,267,13,8,992,04/03/2021
700,278,14,8,992,05/03/2021
686,289,17,8,992,06/03/2021
680,292,20,8,992,07/03/2021
667,299,24,10,990,08/03/2021
653,307,27,13,987,09/03/2021
639,318,28,15,985,10/03/2021
627,326,31,16,984,11/03/2021
615,332,32,21,979,12/03/2021
603,343,32,22,978,13/03/2021
597,346,34,23,977,14/03/2021
590,350,36,24,976,15/03/2021
587,352,36,25,975,16/03/2021
576,360,39,25,975,17/03/2021
567,366,41,26,974,18/03/2021
560,371,41,28,972,19/03/2021
555,371,44,30,970,20/03/2021
546,377,47,30,970,21/03/2021
540,379,51,30,970,22/03/2021
534,380,56,30,970,23/03/2021
529,381,58,32,968,24/03/2021
518,390,60,32,968,25/03/2021
509,396,62,33,967,26/03/2021
499,399,65,37,963,27/03/2021
490,402,69,39,961,28/03/2021
477,412,71,40,960,29/03/2021
